gene_name,gmcsf_1,gmcsf_2,gmcsf_3,gmcsf_4,gmcsf_5,gmcsf_6,mcf7_1,mcf7_2,mcf7_3,mcf7_4,mcf7_5,mcf7_6,mda231_1,mda231_2,mda231_3,mda231_4,mda231_5,mda231_6,t47d_1,t47d_2,t47d_3,t47d_4,t47d_5,t47d_6,uivc1_1,uivc1_2,uivc1_3,uivc1_4,uivc1_5,uivc1_6,uivc4_1,uivc4_2,uivc4_3,uivc4_4,uivc4_5,uivc4_6
5_8S_rRNA,3.827591667,3.246799,0.212196,0.153785,0.446328,0.265346333,1.732242333,1.253446,0.501903,0.566367333,9.051003333,9.242948333,0.397877,0.207132333,0.631030333,0.509188667,0.830506667,1.022664333,0.507886333,0.695568333,0.446838,0.503591333,0.397168667,0.340262,0.479525333,0.42472,0.590931667,1.788434,1.996841,0.419267333,0.22728,0.574254,0.296759333,0.375872,0.304031,0.351389667
A1BG,1.622624,2.754114,1.344875,2.509614,1.06488,1.520992,1.164606,2.312324,1.958059,1.627507,5.057527,4.469102,3.316178,4.161447,5.791154,2.300448,1.475764,3.907411,1.321707,2.45347,1.058542,0.973751,3.422313,1.954777,2.049647,1.278879,1.238884,3.84839,2.711705,0.751556,1.238688,1.809417,2.365046,3.161502,3.819606,2.653635
AAAS,6.643039,4.173436,3.675864,6.076991,3.776479,3.766102,3.980284,6.873029,6.895456,4.441229,4.731468,4.724869,3.021399,6.423606,4.83786,2.148184,5.02045,2.584269,9.821131,4.970226,9.173691,6.095007,4.379306,5.467438,4.928926,3.664525,4.99359,3.33582,2.542631,4.924609,3.523808,4.118847,3.832188,5.181192,4.855953,3.367279
AACS,7.577627,7.647595,7.777211,7.228054,7.330215,6.985102,4.456494,4.528874,4.018071,4.718595,4.5993,4.384636,3.456069,3.61432,3.76226,3.824621,3.964723,3.44242,5.408013,5.115664,4.954972,4.946685,4.382224,4.168936,5.005798,5.007914,5.268123,5.366636,5.299304,4.976696,4.208766,4.144949,3.544199,3.32799,4.107236,3.954727
AAGAB,5.892926,6.0825445,6.0502795,6.211525,6.203869,6.4772185,5.068387,4.9059135,5.151965,5.134833,4.879101,5.158355,4.8181555,4.2662295,4.238897,4.3786485,4.4533655,4.5850095,4.9692575,5.3032865,5.571677,5.3863905,4.969705,5.3287485,5.8999955,5.137998,5.1787385,5.0201145,5.632012,5.68064,4.669164,4.2831305,4.65625,4.7235365,4.646779,4.5638065
AAK1,0.852122,4.088208,1.624996,0,1.50911,0.083523,0.346149,2.536555,0.592022,0.2991,0.201282,0.266572,0.153466,0.086563,0,4.349665,0.19209,0.147194,0.196444,1.259856,3.53273,0.267993,0.925708,0.268473,0.106212,0.107368,0.073099,0.628346,3.26431,0,0,1.690735,0.316851,0,1.081493,0.264656
AAMP,7.0557446,6.7449846,6.7750448,6.7423398,6.5835002,6.899437,7.5761338,7.7482934,7.39726,7.1597482,7.86769,7.3002886,6.3784954,6.409451,6.6093638,7.0319878,6.621948,6.5176072,7.7389674,7.4470042,7.3404148,7.1280334,6.9416648,7.2576914,6.4934804,7.1337774,6.4031794,7.1999246,6.760328,6.5347844,6.3122628,6.6718296,5.6563816,5.3072418,6.1452064,6.126407
AAR2,2.245057333,2.161761,2.015161667,3.741426,3.148173,3.488263667,3.064613333,3.455799,1.947704333,2.757479,2.810489667,2.934451,3.545548667,2.703659,1.689606667,3.292117,1.780913667,3.098256667,3.769183333,2.062993333,3.239016333,3.409731,2.856321,3.312716,2.646956,2.290617,2.825260667,2.535066667,3.313401667,3.164525,1.304256667,2.078234667,3.035755333,3.658747667,3.137484667,3.045098
AARS1,0.829398,1.822668667,2.571497333,2.615599667,0.505015,2.490207,1.811493333,2.277783,3.399742667,3.903617667,2.261468667,4.822254,3.02811,1.890606333,1.290852333,2.284564667,1.633853333,1.671433,4.715377333,4.801089333,1.860491667,2.343091667,3.222775,5.187584333,0.843744,3.467001333,3.324186667,6.255578667,3.487274667,1.978441,1.880328667,2.153701667,0.671875,1.134126667,2.479201333,1.965616333
AARSD1,6.422155,5.845969,5.433949,6.00186,5.147429,5.496815,5.614626,4.91416,3.837435,6.528579,6.286213,6.374558,4.736917,4.607999,5.231238,4.151241,3.999743,4.839659,6.831333,6.271324,6.398738,7.536503,1.000985,5.818941,6.310377,3.998998,6.1251,6.356273,6.006248,4.574811,4.585669,5.146538,4.209219,4.327729,4.027508,4.417117
